    T      epsilon     sdens      sigma2   sigma2/P*T   zeta   4*pi*zeta/hbar*s
 170.000  4.292e+02  2.989e+00  1.571e+02  1.170e-02  7.218e-01  1.538e-02
 155.911  3.270e+02  2.374e+00  1.120e+02  1.236e-02  7.064e-01  1.895e-02
 143.400  2.495e+02  1.886e+00  7.960e+01  1.293e-02  6.873e-01  2.321e-02
 132.315  1.906e+02  1.498e+00  5.641e+01  1.338e-02  6.645e-01  2.825e-02
 122.490  1.457e+02  1.190e+00  3.984e+01  1.370e-02  6.383e-01  3.416e-02
 113.749  1.116e+02  9.452e-01  2.805e+01  1.389e-02  6.092e-01  4.104e-02
 105.920  8.546e+01  7.508e-01  1.968e+01  1.397e-02  5.778e-01  4.901e-02
  98.847  6.552e+01  5.964e-01  1.376e+01  1.396e-02  5.450e-01  5.820e-02
  92.394  5.027e+01  4.737e-01  9.591e+00  1.388e-02  5.116e-01  6.877e-02
  86.451  3.860e+01  3.763e-01  6.663e+00  1.376e-02  4.783e-01  8.094e-02
  80.934  2.967e+01  2.989e-01  4.615e+00  1.361e-02  4.455e-01  9.491e-02
  75.785  2.282e+01  2.374e-01  3.187e+00  1.346e-02  4.136e-01  1.109e-01
  70.963  1.758e+01  1.886e-01  2.194e+00  1.330e-02  3.828e-01  1.293e-01
  66.442  1.355e+01  1.498e-01  1.506e+00  1.314e-02  3.533e-01  1.502e-01
  62.201  1.046e+01  1.190e-01  1.030e+00  1.295e-02  3.250e-01  1.739e-01
  58.225  8.082e+00  9.452e-02  7.024e-01  1.275e-02  2.980e-01  2.008e-01
  54.493  6.253e+00  7.508e-02  4.772e-01  1.253e-02  2.723e-01  2.310e-01
  50.985  4.844e+00  5.964e-02  3.230e-01  1.228e-02  2.480e-01  2.648e-01
  47.677  3.756e+00  4.737e-02  2.176e-01  1.199e-02  2.249e-01  3.024e-01
  44.541  2.917e+00  3.763e-02  1.458e-01  1.167e-02  2.031e-01  3.437e-01
  41.545  2.267e+00  2.989e-02  9.699e-02  1.131e-02  1.824e-01  3.886e-01
