#_____________________
#  T       s         P        epsilon
  4.0  1.48347e-17  1.61435e-18  5.77244e-17
  5.0  1.61281e-14  2.68976e-15  7.79505e-14
  6.0  1.76421e-12  4.15875e-13  1.01694e-11
  7.0  5.16860e-11  1.62861e-11  3.45516e-10
  8.0  6.62825e-10  2.67996e-10  5.03461e-09
  9.0  4.89220e-09  2.46019e-09  4.15696e-08
 10.0  2.45016e-08  1.49525e-08  2.30063e-07
 11.0  9.24851e-08  6.71453e-08  9.50191e-07
 12.0  2.82230e-07  2.39801e-07  3.14695e-06
 13.0  7.30998e-07  7.16965e-07  8.78601e-06
 14.0  1.66392e-06  1.86197e-06  2.14330e-05
 15.0  3.41475e-06  4.31606e-06  4.69052e-05
 16.0  6.44076e-06  9.11506e-06  9.39371e-05
 17.0  1.13307e-05  1.78174e-05  1.74805e-04
 18.0  1.88061e-05  3.26369e-05  3.05873e-04
 19.0  2.97163e-05  5.65732e-05  5.08036e-04
 20.0  4.50297e-05  9.35360e-05  8.07058e-04
 21.0  6.58216e-05  1.48458e-04  1.23380e-03
 22.0  9.32605e-05  2.27394e-04  1.82434e-03
 23.0  1.28594e-04  3.37610e-04  2.62005e-03
 24.0  1.73133e-04  4.87650e-04  3.66755e-03
 25.0  2.28242e-04  6.87399e-04  5.01866e-03
 26.0  2.95324e-04  9.48125e-04  6.73031e-03
 27.0  3.75810e-04  1.28252e-03  8.86437e-03
 28.0  4.71152e-04  1.70470e-03  1.14876e-02
 29.0  5.82812e-04  2.23026e-03  1.46713e-02
 30.0  7.12258e-04  2.87625e-03  1.84915e-02
 31.0  8.60961e-04  3.66119e-03  2.30286e-02
 32.0  1.03039e-03  4.60508e-03  2.83673e-02
 33.0  1.22200e-03  5.72937e-03  3.45967e-02
 34.0  1.43726e-03  7.05696e-03  4.18097e-02
 35.0  1.67760e-03  8.61224e-03  5.01039e-02
 36.0  1.94449e-03  1.04210e-02  5.95806e-02
 37.0  2.23935e-03  1.25105e-02  7.03455e-02
 38.0  2.56364e-03  1.49095e-02  8.25087e-02
 39.0  2.91878e-03  1.76481e-02  9.61842e-02
 40.0  3.30622e-03  2.07579e-02  1.11491e-01
 41.0  3.72742e-03  2.42718e-02  1.28552e-01
 42.0  4.18383e-03  2.82244e-02  1.47496e-01
 43.0  4.67694e-03  3.26517e-02  1.68457e-01
 44.0  5.20824e-03  3.75910e-02  1.91572e-01
 45.0  5.77926e-03  4.30814e-02  2.16985e-01
 46.0  6.39156e-03  4.91633e-02  2.44848e-01
 47.0  7.04671e-03  5.58788e-02  2.75316e-01
 48.0  7.74635e-03  6.32716e-02  3.08553e-01
 49.0  8.49214e-03  7.13869e-02  3.44728e-01
 50.0  9.28582e-03  8.02718e-02  3.84019e-01
 51.0  1.01291e-02  8.99751e-02  4.26612e-01
 52.0  1.10240e-02  1.00547e-01  4.72700e-01
 53.0  1.19722e-02  1.12041e-01  5.22486e-01
 54.0  1.29758e-02  1.24510e-01  5.76183e-01
