#_____________________
#  T       s         P        epsilon
  5.00 1.6128054204e-14 2.6897593720e-15 7.7950511648e-14
  6.00 1.7642110914e-12 4.1587477829e-13 1.0169391770e-11
  7.00 5.1686000645e-11 1.6286081756e-11 3.4551592276e-10
  8.00 6.6282523873e-10 2.6799550451e-10 5.0346064053e-09
  9.00 4.8922021874e-09 2.4601907891e-09 4.1569628897e-08
 10.00 2.4501564100e-08 1.4952508622e-08 2.3006313238e-07
 11.00 9.2485083417e-08 6.7145271758e-08 9.5019064583e-07
 12.00 2.8222955013e-07 2.3980055064e-07 3.1469540509e-06
 13.00 7.3099842921e-07 7.1696498302e-07 8.7860145967e-06
 14.00 1.6639229094e-06 1.8619677127e-06 2.1432953019e-05
 15.00 3.4147512882e-06 4.3160634216e-06 4.6905205901e-05
 16.00 6.4407619216e-06 9.1150608481e-06 9.3937129898e-05
 17.00 1.1330726450e-05 1.7817423455e-05 1.7480492620e-04
 18.00 1.8806077673e-05 3.2636881017e-05 3.0587251709e-04
 19.00 2.9716266841e-05 5.6573199252e-05 5.0803587072e-04
 20.00 4.5029690595e-05 9.3535969742e-05 8.0705784215e-04
 21.00 6.5821634628e-05 1.4845771801e-04 1.2337966092e-03
 22.00 9.3260545706e-05 2.2739401903e-04 1.8243379865e-03
 23.00 1.2859371102e-04 3.3760950919e-04 2.6200458442e-03
 24.00 1.7313316629e-04 4.8764963413e-04 3.6675463568e-03
 25.00 2.2824241406e-04 6.8739867033e-04 5.0186616811e-03
 26.00 2.9532433092e-04 9.4812503519e-04 6.7303075688e-03
 27.00 3.7581048314e-04 1.2825151958e-03 8.8643678490e-03
 28.00 4.7115195132e-04 1.7046976436e-03 1.1487556993e-02
 29.00 5.8281168078e-04 2.2302584574e-03 1.4671280285e-02
 30.00 7.1225831744e-04 2.8762499655e-03 1.8491499558e-02
 31.00 8.6096145281e-04 3.6611939546e-03 2.3028611083e-02
 32.00 1.0303881801e-03 4.6050807892e-03 2.8367340974e-02
 33.00 1.2220008522e-03 5.7293656965e-03 3.4596662427e-02
 34.00 1.4372559279e-03 7.0569633634e-03 4.1809738186e-02
 35.00 1.6776037926e-03 8.6122418762e-03 5.0103890864e-02
 36.00 1.9444894435e-03 1.0421016922e-02 5.9580603045e-02
 37.00 2.2393539342e-03 1.2510547064e-02 7.0345548500e-02
 38.00 2.5636364787e-03 1.4909530800e-02 8.2508655390e-02
 39.00 2.9187771255e-03 1.7648106012e-02 9.6184201883e-02
 40.00 3.3062199167e-03 2.0757852349e-02 1.1149094432e-01
 41.00 3.7274164571e-03 2.4271796968e-02 1.2855227777e-01
 42.00 4.1838298284e-03 2.8224424033e-02 1.4749642876e-01
 43.00 4.6769387890e-03 3.2651688265e-02 1.6845667966e-01
 44.00 5.2082422110e-03 3.7591032823e-02 1.9157162446e-01
 45.00 5.7792637139e-03 4.3081411719e-02 2.1698545541e-01
 46.00 6.3915564616e-03 4.9163316949e-02 2.4484828029e-01
 47.00 7.0467080977e-03 5.5878810499e-02 2.7531647009e-01
 48.00 7.7463458008e-03 6.3271561337e-02 3.0855303710e-01
 49.00 8.4921414483e-03 7.1386887527e-02 3.4472804344e-01
 50.00 9.2858168814e-03 8.0271803548e-02 3.8401904052e-01
 51.00 1.0129149270e-02 8.9975072933e-02 4.2661153986e-01
 52.00 1.1023976584e-02 1.0054726633e-01 4.7269951605e-01
 53.00 1.1972203169e-02 1.1204082506e-01 5.2248594289e-01
 54.00 1.2975805447e-02 1.2451013036e-01 5.7618336375e-01
 55.00 1.4036837746e-02 1.3801157836e-01 6.3401449765e-01
 56.00 1.5157438277e-02 1.5260366093e-01 6.9621288257e-01
 57.00 1.6339835270e-02 1.6834705266e-01 7.6302355775e-01
