check a
check b
check me
will read res info from /Users/scottepratt/git/rhic/b3d/trunk/resinfo/resonances_standardhadrons.dat
NResonances=55
will read decay info from resinfo/decays_weak.dat
#_____________________
#  T       s         P        epsilon
  3.00 1.4020171435e-22 8.7592159809e-24 4.1184592708e-22
  4.00 1.4751820584e-17 1.6050967225e-18 5.7402185615e-17
  5.00 1.6055541508e-14 2.6772671466e-15 7.7600440392e-14
  6.00 1.7576116738e-12 4.1425656415e-13 1.0131413479e-11
  7.00 5.1521285487e-11 1.6231719693e-11 3.4441727871e-10
  8.00 6.6099324322e-10 2.6721434125e-10 5.0207316045e-09
  9.00 4.8803099061e-09 2.4538410435e-09 4.1468948111e-08
 10.00 2.4448588900e-08 1.4917952570e-08 2.2956793643e-07
 11.00 9.2305575739e-08 6.7005045674e-08 9.4835628745e-07
 12.00 2.8173397755e-07 2.3934452014e-07 3.1414632105e-06
 13.00 7.2982954559e-07 7.1571531503e-07 8.7720687777e-06
 14.00 1.6614862354e-06 1.8589765004e-06 2.1401830795e-05
 15.00 3.4101490018e-06 4.3096417473e-06 4.6842593280e-05
 16.00 6.4327380514e-06 9.1024468353e-06 9.3821361986e-05
 17.00 1.1317628464e-05 1.7794403417e-05 1.7460528048e-04
 18.00 1.8785836541e-05 3.2597381374e-05 3.0554767637e-04
 19.00 2.9686395145e-05 5.6508867652e-05 5.0753264010e-04
 20.00 4.4987296536e-05 9.3435762472e-05 8.0631016825e-04
 21.00 6.5763448880e-05 1.4830750811e-04 1.2327249184e-03
 22.00 9.3182957734e-05 2.2717623627e-04 1.8228488339e-03
 23.00 1.2849281162e-04 3.3730281976e-04 2.6180318475e-03
 24.00 1.7300479351e-04 4.8722866474e-04 3.6648863794e-03
 25.00 2.2808220006e-04 6.8683377888e-04 5.0152212226e-03
 26.00 2.9512774806e-04 9.4738212809e-04 6.7259393213e-03
 27.00 3.7557288779e-04 1.2815555903e-03 8.8589123799e-03
 28.00 4.7086862469e-04 1.7034779725e-03 1.1480843519e-02
 29.00 5.8247786619e-04 2.2287306127e-03 1.4663127507e-02
 30.00 7.1186925395e-04 2.8743610778e-03 1.8481716541e-02
 31.00 8.6051240547e-04 3.6588864043e-03 2.3016998165e-02
 32.00 1.0298744675e-03 4.6022922461e-03 2.8353690712e-02
 33.00 1.2214178719e-03 5.7260291865e-03 3.4580760586e-02
 34.00 1.4365991817e-03 7.0530073600e-03 4.1791364817e-02
 35.00 1.6768689126e-03 8.6075904174e-03 5.0082821523e-02
 36.00 1.9436722215e-03 1.0415589755e-02 5.9556610218e-02
 37.00 2.2384503563e-03 1.2504259823e-02 7.0318403360e-02
 38.00 2.5626427689e-03 1.4902295218e-02 8.2478130000e-02
 39.00 2.9176898001e-03 1.7639830189e-02 9.6150072014e-02
 40.00 3.3050358533e-03 2.0748441074e-02 1.1145299306e-01
 41.00 3.7261329819e-03 2.4261152126e-02 1.2851030013e-01
 42.00 4.1824448235e-03 2.8212445100e-02 1.4745023749e-01
 43.00 4.6754508236e-03 3.2638272934e-02 1.6840611248e-01
 44.00 5.2066506971e-03 3.7576077762e-02 1.9151655291e-01
 45.00 5.7775690876e-03 4.3064813504e-02 2.1692579544e-01
 46.00 6.3897603888e-03 4.9144973189e-02 2.4478400469e-01
